Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
Martin St. Louis*,1,2013,37,TBL,RW,48,17,43,60,0,14,6.3,14,3,0,2,26,17,0,112,15.2,1055,21:59,32,23,12,16,42.9,stlouma01
Steven Stamkos,2,2013,22,TBL,C,48,29,28,57,-4,32,7.1,19,10,0,2,20,8,0,157,18.5,1057,22:01,17,63,406,413,49.6,stamkst01
Alex Ovechkin,3,2013,27,WSH,RW,48,32,24,56,2,36,8.0,16,16,0,4,13,11,0,220,14.5,1002,20:53,18,120,0,1,0.0,ovechal01
Sidney Crosby,4,2013,25,PIT,C,36,15,41,56,26,16,7.5,12,3,0,1,27,14,0,124,12.1,760,21:06,18,21,453,381,54.3,crosbsi01
Patrick Kane,5,2013,24,CHI,RW,47,23,32,55,11,8,7.6,15,8,0,3,23,9,0,138,16.7,943,20:03,9,11,2,8,20.0,kanepa01
Eric Staal,6,2013,28,CAR,C,48,18,35,53,5,54,6.4,14,3,1,4,29,6,0,152,11.8,1008,21:00,24,35,527,487,52.0,staaler01
Phil Kessel,7,2013,25,TOR,RW,48,20,32,52,-3,18,6.2,14,6,0,4,17,15,0,161,12.4,951,19:49,23,16,5,3,62.5,kesseph01
Chris Kunitz,8,2013,33,PIT,LW,48,22,30,52,30,39,7.8,13,9,0,5,23,7,0,113,19.5,865,18:01,13,104,4,5,44.4,kunitch01
Taylor Hall,9,2013,21,EDM,LW,45,16,34,50,5,33,6.1,12,4,0,4,24,10,0,154,10.4,838,18:37,20,24,29,24,54.7,hallta02
Mike Ribeiro,10,2013,32,WSH,C,48,13,36,49,-4,53,5.1,7,6,0,1,15,21,0,63,20.6,856,17:50,29,55,226,279,44.8,ribeimi01
Pavel Datsyuk,11,2013,34,DET,C,47,15,34,49,21,14,6.5,7,8,0,6,23,8,3,107,14.0,949,20:11,30,31,488,399,55.0,datsypa01
Ryan Getzlaf,12,2013,27,ANA,C,44,15,34,49,14,41,6.1,8,4,3,3,23,11,0,99,15.2,889,20:12,42,89,355,384,48.0,getzlry01
Nicklas Bäckström,13,2013,25,WSH,C,48,8,40,48,8,20,4.8,5,3,0,1,25,15,0,82,9.8,955,19:54,35,31,432,408,51.4,backsni02
Claude Giroux,14,2013,25,PHI,RW,48,13,35,48,-7,22,5.0,6,6,1,2,20,15,0,137,9.5,1016,21:10,29,57,644,538,54.5,giroucl01
Jonathan Toews,15,2013,24,CHI,C,47,23,25,48,28,27,7.6,19,2,2,5,20,4,1,143,16.1,909,19:21,16,24,559,374,59.9,toewsjo01
Henrik Zetterberg,16,2013,32,DET,C,46,11,37,48,2,18,5.2,5,4,2,5,18,19,0,173,6.4,944,20:31,10,20,263,281,48.3,zettehe01
John Tavares,17,2013,22,NYI,C,48,28,19,47,-2,18,6.6,19,9,0,5,12,7,0,162,17.3,997,20:46,22,33,459,471,49.4,tavarjo01
Andrew Ladd,18,2013,27,WPG,LW,48,18,28,46,10,22,5.9,15,3,0,4,25,3,0,121,14.9,945,19:41,26,98,29,25,53.7,laddan01
Jakub Voráček,19,2013,23,PHI,RW,48,22,24,46,-7,35,6.1,14,8,0,3,15,9,0,129,17.1,827,17:14,12,20,2,3,40.0,voracja01
Henrik Sedin*,20,2013,32,VAN,C,48,11,34,45,19,24,5.6,9,1,1,1,22,12,0,70,15.7,929,19:21,9,22,440,451,49.4,sedinhe01
Nazem Kadri,21,2013,22,TOR,C,48,18,26,44,15,23,6.2,13,5,0,1,23,3,0,107,16.8,771,16:03,22,62,250,315,44.2,kadrina01
Derek Stepan,22,2013,22,NYR,C,48,18,26,44,25,12,6.5,13,4,1,6,17,6,3,108,16.7,1004,20:55,28,52,448,529,45.9,stepade01
